producto_b2b_id,id_interno,sku_base,nombre,descripcion_resumen,category_id,categoria_slug,subcategory_id,subcategoria_slug,classification_status,confidence,evidencia,regla_utilizada
00aa93ed-145b-44f0-90a5-86a558a69d22,pp_ff6aed156c5256509ccb2b8c,,"Cable de carga ""NEXO""","Un cable, todas las conexionesCable de carga rápida. Estuche circular con mosquetón. Accesorios: 1 cable de carga rápida USB tipo C a USB tipo C de 60 W con transferencia de datos,",73bc893a-e0cb-4f14-a593-2c93353dc50d,tecnologia,1994c87a-63af-4817-a412-2229508a7039,cargadores-cables,HIGH_CONFIDENCE_EXACT,1.0,match:\bcable\b,cargadores-cables
010f3ddd-2620-476a-8188-a0452a2d18ec,pp_f19be309ad7f55b03050794a,,"Llavero destapador ""SHARK""","Pequeño y práctico Llavero destapador. Pintura acabado brillante. Medidas: 6,7 x 1,08 x 1,48 cm. 
Material: Aluminio.",,,,,MANUAL_REVIEW_AMBIGUOUS,0.4,"multi_cat: ['hogar-cocina', 'llaveros-identificadores']",llaveros-metalicos/destapadores
013afc24-47b0-4385-ab3a-8618aea28654,pp_d77cc78e1e287c7e95787afc,,"Set de libreta y bolígrafo ""MAGIC""","13 x 18 cm. Libreta color Kraft, anillado metálico y 70 hojas punteadas de 70g. Bolígrafo metálico (BP295) color negro con tinta negra. Mediante sistema de imanes el bolígrafo qued",,,,,MANUAL_REVIEW_AMBIGUOUS,0.4,"multi_cat: ['boligrafos', 'libretas-cuadernos']",libretas/boligrafos-metalicos/boligrafos-plasticos
031cc9a0-7f77-482b-801d-dfbbf619f805,pp_5e44b170f489b1453b823b61,,"Llavero ""BORD""","Refleja distinciónLlavero con forma ovalada. Estructura plástica de color con apliques de acero color gris gun de cada lado. Acabado brillante.Medidas: 5 x 3 x 0,35 cm. LLavero de ",d6511709-c9ab-4719-b70b-ac2b56fd9d7c,llaveros-identificadores,e788c044-4e6c-4409-b449-7523e6bba0cf,llaveros-plasticos,HIGH_CONFIDENCE_EXACT,1.0,match:llavero.*plastic,llaveros-plasticos
03c1c087-668d-402a-9bb5-95159df74cfb,pp_eb97087ede840c987f627a24,,"BOTELLA ""MULTI""",Ø 8 x 22.5 cm. Capacidad 1 lt. Plástico. Cuerpo traslucido de color. Tapa de rosca con lazo que se engancha a la boca de la botella. No utilizar para bebidas calientes y gaseosas. ,5a9b91cb-607f-45fa-bcd4-c1c1a782a8c1,bebidas-termos-vasos,dd7255b0-a98b-422a-be20-4f478e9da9d7,botellas-cilindros,HIGH_CONFIDENCE_EXACT,1.0,match:botella,botellas-cilindros
0451f41a-29e5-4140-af39-a0409d9d6516,pp_3929a0ccb83828c2fbe40e05,,"Botella plegable ""KALAP""","Perfecta para tus aventuras y ocupa mínimo espacio.Botella plegable que reduce su tamaño a 17 cm cuando está vacía, ocupando un mínimo espacio en tu mochila o bolso. Boca de botell",,,,,MANUAL_REVIEW_AMBIGUOUS,0.4,"multi_cat: ['bebidas-termos-vasos', 'bolsas-mochilas-viaje']",mochilas-backpacks/botellas-cilindros
04df4271-499a-45ad-a494-e6ec4f8a49b6,pp_b6ba9596479a6178deb8ff3e,,"Mug térmico ""GARAMOND""","Disfruta tus bebidas a la mejor temperatura siempre

Mug térmico doble pared sellado al vacio. Aislamiento térmico. Tecnología vacuum. Interior en acero 304 y exterior en acero 2",5a9b91cb-607f-45fa-bcd4-c1c1a782a8c1,bebidas-termos-vasos,dafde7ec-418f-4071-af3e-3ddc803feaa0,termos,HIGH_CONFIDENCE_EXACT,1.0,match:termic,termos
0554d8d6-ae1e-4d16-b0e4-b7cc99663e12,pp_8f79e31c0af007a74d7b1a1e,,"Bolso térmico ""PEBAG""",Espacio funcional con forma adaptable.Bolso térmico. Cierre posterior con dos tiradores. Hebillas metálicas en los laterales que permiten cambiar su formato a prisma. Bolsillo fron,5a9b91cb-607f-45fa-bcd4-c1c1a782a8c1,bebidas-termos-vasos,dafde7ec-418f-4071-af3e-3ddc803feaa0,termos,HIGH_CONFIDENCE_EXACT,1.0,match:termic,termos
05d29f52-61c7-4245-9177-5b7b16f3729b,pp_a64f4872d683a4884c8e3213,,"Power Bank multipuerto ""ATLANTA""",Energía en tu bolsillo.Power bank multipuerto. Pantalla LCD. 2 entradas USB tipo C. 1 salida USB.  Entrada y Salida de carga rápida 5V 2A. 3 cables de carga integrados:  USB standa,73bc893a-e0cb-4f14-a593-2c93353dc50d,tecnologia,64b67871-1406-41f9-bc95-afa883f06171,power-banks,HIGH_CONFIDENCE_EXACT,1.0,match:power\s*bank,power-banks
05f126e7-39cb-4540-985a-71a50d647af5,pp_0da4c518b6a8a622913ab43f,,"Trofeo ""WINNER III""","Diseñado para celebrar logros.Trofeo de vidrio facetado simil cristal. Medidas: 12 x 6,5 x 3,5 cm. 
Materiales: Vidrio K9. 
Peso: 0,4 kg. 
Presentación: en estuche color negro c",,,,,MANUAL_REVIEW_NO_SIGNAL,0.0,sin señal léxica,no_rule
06eaa735-c187-4d37-969c-df26532d5e0b,pp_76b9efa40aab1742a0458c95,,"Mochila ""FORCE 4""","Lleva todo lo que necesitas con estilo, comodidadMochila portanotebook de hasta 17 pulgadas. Cuenta con dos compartimentos, el compartimento principal con bolsillo acolchado para l",,,,,MANUAL_REVIEW_AMBIGUOUS,0.4,"multi_cat: ['bolsas-mochilas-viaje', 'libretas-cuadernos']",mochilas-backpacks/libretas
08cbd88e-09fa-45e8-8439-b431601283cb,pp_4f87dca501d7f3ea97991bfe,,"BOTELLA ""OCEAN COLOR - WAIKIKI""","Ø 8 x 20,5 cm. Capacidad 810 ml. Plástico PET. Peso del botella: 63 gramos - Peso de la tapa: 12 gramos. Plástico. Cuerpo de color translucido.ATENCIÓN  Botella, tapa y jareta se e",5a9b91cb-607f-45fa-bcd4-c1c1a782a8c1,bebidas-termos-vasos,dd7255b0-a98b-422a-be20-4f478e9da9d7,botellas-cilindros,HIGH_CONFIDENCE_EXACT,1.0,match:botella,botellas-cilindros
090c8d38-96f9-4510-82fe-f759cf734e41,pp_8d936d52bc383c7baa614d96,,"Taza sublimable ""MIKA""",Personaliza tu bebida y expresa tu creatividad.Taza sublimable con tapa. Tapa plástica a presión color negro con anillo de silicona. Base de corcho.  Pintura con acabado mate. Prod,5a9b91cb-607f-45fa-bcd4-c1c1a782a8c1,bebidas-termos-vasos,3ac4291e-53ab-4bdc-b42a-9fc84648ba4f,tazas-mugs,HIGH_CONFIDENCE_EXACT,1.0,match:\btaza\b,tazas-mugs
0b75cd99-d5bd-4634-bc3c-5363c0ca8838,pp_a7673397e77ef5e034116235,,PARANTE,43 x 38 cm. Polyester y aro aluminio. Set de 2 parantes para las ventanillas del automóvil.,64b881ad-4624-4177-be86-1ac83f4761e1,herramientas-auto,0f1136cb-f6dc-434d-bd7d-54bd9e664890,accesorios-auto,HIGH_CONFIDENCE_EXACT,1.0,match:auto,accesorios-auto
0d0bbfed-b378-4d7f-a1db-f2afa91c222a,pp_2ecc9c41be808d1a25b17387,,"Esponja de maquillaje ""DROP""","6 x 4 x 4 cm. Esponja PP. Esponja de maquillaje. Estuche de plástico transparente (Ø 4,5 x 8,5 cm.) con gancho y base del mismo color que la esponja",,,,,MANUAL_REVIEW_NO_SIGNAL,0.0,sin señal léxica,no_rule
0d1f6904-71f8-4de9-9a0e-807a97735aaf,pp_fc83dfb5d211b16850655d1f,,"Set de juegos ""PLAYER""","10 x 9,4 x 2,5 cm. Madera y papel plastificado. Set de entretenimiento. Incluye: 1 juego de cartas de poker plastificadas y 5 dados de madera de cerezo. Caja contenedora de madera ",dcf767d4-2f29-4904-923a-fc6a1d4f373e,outdoor-deporte-recreacion,22d6181d-1180-45bc-9399-cade08cd6066,juegos-recreacion,HIGH_CONFIDENCE_EXACT,1.0,match:\bjuego\b,juegos-recreacion
0e50f962-fceb-4219-a46c-8cc1ac51f26b,pp_294cae2cfdc031335c45e16f,,"Billetera ""WALLY""",Compacta y con Múltiples CompartimentosBilletera portadocumentos. Estructura acolchada con cierre perimetral y un bolsillo al frente. Bolsillos internos de red de ambos lados con m,,,,,MANUAL_REVIEW_NO_SIGNAL,0.0,sin señal léxica,no_rule
